@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {split_audio_coyote,split_audio_bg}

@DATA
0.246999,0.014516,3.040090,0.251428,0.200761,1.593244,0.006536,0.424300,-31.335847,-0.546411,-0.536481,0.004215,-0.052234,0.297783,-0.463286,-0.055435,0.397751,-0.281563,0.024613,0.031734,0.022881,0.009673,0.011851,0.006258,0.002222,0.001773,0.002391,0.002565,0.001412,0.003029,0.004397,0.007270,0.004567,0.007737,0.005362,-0.000051,0.004588,0.003240,0.000580,0.050105,-0.000157,0.006725,-0.079296,0.018481,0.016211,-0.027480,0.018733,-0.013878,0.027503,0.005071,-0.000773,0.029690,-0.015204,-0.012426,-0.008766,-0.000132,-0.000707,-0.000313,-0.000129,0.000044,0.000024,0.000011,0.000090,0.000052,0.000141,-0.000011,-0.000074,-0.000195,0.127092,0.025206,0.362337,0.075167,0.033244,0.914579,0.007018,0.274677,3.216403,0.670995,0.786052,0.369505,0.403904,0.398650,0.433957,0.215478,0.405132,0.348806,0.277637,0.185269,0.155603,0.014569,0.024974,0.009325,0.001956,0.001975,0.005005,0.003602,0.001569,0.005406,0.007505,0.014832,0.005446,0.008781,0.060194,0.017462,0.424684,0.033728,0.034080,0.577531,0.004871,0.133651,1.331248,0.747420,0.509012,0.397326,0.395142,0.420195,0.291522,0.255665,0.274002,0.273355,0.303101,0.217434,0.228867,0.016062,0.031202,0.010829,0.002166,0.002209,0.006432,0.004215,0.002001,0.007427,0.009379,0.017774,0.008201,0.008417,split_audio_coyote
0.201724,0.051648,3.153055,0.226602,0.191126,1.384438,0.008369,0.350454,-29.695755,-0.258853,-0.878040,-0.276061,0.202614,0.362886,-0.314074,-0.181680,0.049567,0.277444,-0.200133,-0.096258,0.080316,0.002294,0.004155,0.001901,0.001741,0.001912,0.001649,0.002084,0.002154,0.004366,0.045464,0.025486,0.003741,0.019957,0.005727,-0.000836,0.002428,0.002855,0.001996,0.030134,0.000001,0.012024,-0.108204,0.004527,0.009634,-0.004472,-0.000350,-0.029394,0.018037,-0.001541,-0.003858,-0.005078,-0.005773,-0.002498,-0.003848,0.000035,0.000012,0.000032,0.000051,0.000028,0.000064,0.000063,0.000085,-0.000018,-0.003237,0.000058,0.000013,-0.000884,0.075353,0.024029,0.269219,0.042557,0.030704,0.527002,0.006991,0.170883,1.513171,0.686054,0.540948,0.258109,0.323459,0.320933,0.269118,0.205912,0.228409,0.247591,0.187043,0.179527,0.178781,0.002994,0.009204,0.001917,0.002727,0.002016,0.002145,0.002021,0.002646,0.006378,0.058642,0.035898,0.006532,0.017365,0.062829,0.014298,0.310321,0.039143,0.041664,0.375619,0.008024,0.156771,1.293450,0.700436,0.463365,0.276022,0.359730,0.297086,0.229361,0.187571,0.278247,0.280634,0.200486,0.191919,0.196884,0.003865,0.009146,0.001853,0.003079,0.002259,0.002687,0.002230,0.003198,0.007071,0.041170,0.020898,0.009005,0.013707,split_audio_coyote
0.200187,0.023065,3.116438,0.232464,0.208239,1.325529,0.008788,0.342752,-30.300196,0.017990,-0.964981,-0.273459,0.313195,0.117945,-0.515725,-0.204415,0.273986,0.056332,-0.381118,0.065223,0.094777,0.005692,0.002458,0.002555,0.002551,0.002221,0.002185,0.003753,0.001476,0.004389,0.005596,0.012861,0.027788,0.010844,0.013044,-0.000709,0.000503,0.008845,0.001736,0.103651,-0.000343,0.025284,-0.316238,-0.000302,0.067170,-0.023187,-0.022418,-0.025436,-0.003892,-0.026612,-0.013056,-0.020020,0.011608,-0.013805,0.010575,-0.000432,-0.000036,0.000083,0.000127,0.000079,0.000053,0.000047,-0.000023,0.000069,0.000183,0.000142,-0.001413,-0.000393,0.151580,0.035634,0.317316,0.089624,0.032749,1.023729,0.012819,0.299420,3.692268,0.715738,0.859616,0.287680,0.420591,0.507138,0.344251,0.225174,0.282942,0.276716,0.279847,0.218737,0.217460,0.006244,0.003067,0.002591,0.002727,0.001971,0.003466,0.003944,0.002350,0.007281,0.006306,0.020293,0.037842,0.010007,0.081440,0.022328,0.447699,0.049922,0.027127,0.528978,0.015943,0.203102,1.930811,0.858824,0.453155,0.264587,0.379674,0.381947,0.287505,0.289612,0.241306,0.314188,0.237496,0.194262,0.263671,0.008474,0.003457,0.002035,0.002996,0.002341,0.004476,0.004603,0.003487,0.009842,0.008527,0.022326,0.041582,0.009937,split_audio_coyote
0.091221,0.029984,3.057701,0.174096,0.191106,0.578005,0.008324,0.121234,-27.620207,-0.144611,-1.662803,-0.298291,-0.182707,0.793197,-0.301975,-0.428101,0.075974,0.400343,-0.193942,-0.314658,0.061703,0.003269,0.002992,0.002718,0.002227,0.002400,0.003002,0.002638,0.003978,0.006479,0.100587,0.008199,0.003206,0.029243,-0.003868,-0.007219,0.002848,0.004887,0.003860,-0.034186,-0.003354,-0.014338,-0.340242,-0.025048,-0.015714,-0.000026,0.018745,-0.032364,0.055309,-0.026138,0.015902,-0.015478,0.012667,0.003395,-0.012418,0.000005,0.000040,0.000029,-0.000025,-0.000057,-0.000010,0.000046,0.000130,0.000183,-0.013592,0.001347,0.000216,-0.003787,0.064157,0.040348,0.231711,0.062517,0.036329,0.492092,0.008095,0.106254,3.209167,0.722388,0.535711,0.298580,0.567715,0.465265,0.318266,0.248307,0.229353,0.406863,0.229657,0.204909,0.229214,0.004778,0.005092,0.003525,0.003301,0.003116,0.003344,0.002675,0.005080,0.006652,0.074610,0.005936,0.002030,0.019642,0.045541,0.040816,0.321739,0.047464,0.037427,0.433160,0.012955,0.088676,2.129721,0.872997,0.495364,0.401892,0.545296,0.381575,0.225277,0.270407,0.353663,0.275750,0.224101,0.263299,0.307978,0.005540,0.006767,0.003747,0.003299,0.003779,0.003963,0.003356,0.005925,0.007088,0.057530,0.009060,0.002653,0.015454,split_audio_coyote
0.069340,0.007341,2.822573,0.266030,0.290277,0.263771,0.011168,0.058859,-30.941608,1.408696,-0.087683,0.937347,0.108415,-0.031164,0.493715,0.007157,0.021777,0.272766,-0.015686,0.084882,0.153516,0.002267,0.000517,0.062382,0.001769,0.005765,0.002572,0.234212,0.002821,0.007254,0.004173,0.015251,0.000375,0.071163,-0.000267,0.000002,0.002706,-0.000134,-0.000038,-0.000011,0.000052,0.000011,0.039286,-0.002989,0.014237,0.006223,0.000025,0.004759,-0.000591,-0.002387,0.001016,0.000831,0.001643,-0.001560,-0.000698,0.000007,-0.000002,0.000226,-0.000001,-0.000018,-0.000006,-0.000754,-0.000004,-0.000002,0.000065,0.000294,-0.000000,-0.000208,0.037550,0.017163,0.371034,0.054171,0.036357,0.168809,0.008623,0.104440,2.241025,0.835538,0.473453,0.402256,0.372511,0.285480,0.371814,0.362252,0.321739,0.292106,0.272267,0.185613,0.152938,0.003805,0.000786,0.071022,0.002849,0.006850,0.005489,0.108391,0.006410,0.014465,0.006237,0.013355,0.000380,0.028549,0.051810,0.022250,0.570048,0.061135,0.039766,0.246059,0.010291,0.153080,2.232193,1.008825,0.476876,0.444946,0.363774,0.353889,0.429777,0.387460,0.402274,0.373689,0.330014,0.236341,0.209928,0.005554,0.001025,0.091874,0.004349,0.009141,0.007756,0.119586,0.008507,0.018952,0.008657,0.015651,0.000536,0.035735,split_audio_coyote
0.203721,0.015377,3.075051,0.238157,0.209005,1.291147,0.005099,0.358417,-30.487130,-0.436162,-1.089016,-0.293642,0.109136,0.272343,-0.417975,-0.227398,0.282738,0.249147,-0.313300,-0.203268,0.117863,0.003319,0.003569,0.002610,0.001988,0.002174,0.002189,0.002595,0.003737,0.002667,0.008965,0.040736,0.010930,0.012919,0.046087,-0.000040,0.043360,0.020293,0.005267,0.329325,-0.000059,0.141561,-0.477282,0.056592,0.084949,0.004092,-0.043586,-0.128813,-0.106095,0.017884,-0.090133,-0.057669,0.039779,-0.081688,-0.012106,0.000227,0.000704,0.000074,0.000315,0.000077,-0.000145,0.000311,0.000688,0.000032,-0.000174,-0.022700,-0.003512,-0.006345,0.105073,0.021717,0.232425,0.055497,0.022387,0.844842,0.004061,0.298828,2.236470,0.671955,0.460518,0.245951,0.365865,0.387108,0.352011,0.266318,0.214736,0.265380,0.307169,0.104791,0.184495,0.003192,0.003400,0.002242,0.001663,0.001383,0.001960,0.001662,0.004868,0.002040,0.010763,0.039730,0.010462,0.010494,0.049967,0.019964,0.331581,0.026387,0.018994,0.552654,0.004396,0.213433,1.267910,0.688308,0.251978,0.155923,0.321965,0.302603,0.529473,0.333517,0.186430,0.208214,0.303953,0.192954,0.233032,0.003531,0.004518,0.002536,0.001756,0.001238,0.002487,0.002098,0.005889,0.002841,0.017047,0.040658,0.013529,0.009233,split_audio_coyote
0.199754,0.025617,3.101925,0.235844,0.201533,1.406913,0.007013,0.368792,-30.082381,-0.287784,-1.170953,-0.182937,0.049805,0.355458,-0.415018,-0.221937,0.203302,0.180291,-0.393757,-0.081486,0.140589,0.002498,0.003171,0.002458,0.002247,0.002814,0.002173,0.002528,0.002237,0.003635,0.010526,0.016681,0.029263,0.012557,0.023752,-0.000032,0.015125,0.006678,-0.000188,0.136887,-0.000296,0.039511,-0.195538,-0.021014,0.055586,-0.051082,-0.044103,-0.031715,0.032722,0.023401,-0.031933,-0.005692,0.015596,-0.024776,-0.024432,-0.000086,-0.000012,-0.000010,0.000160,0.000062,-0.000037,0.000475,0.000148,0.000041,0.000172,0.000082,-0.007269,-0.001903,0.111147,0.030838,0.243588,0.052117,0.022273,0.729369,0.005929,0.208174,2.404113,0.590938,0.555147,0.285667,0.450639,0.320694,0.289647,0.235112,0.277076,0.287590,0.198838,0.149117,0.209400,0.002934,0.005743,0.003309,0.002983,0.002504,0.002439,0.002280,0.002355,0.008912,0.019640,0.017548,0.035763,0.010308,0.054600,0.024047,0.324360,0.034490,0.022097,0.422090,0.005967,0.141727,1.627453,0.800069,0.343553,0.212389,0.440489,0.285295,0.288750,0.222017,0.288831,0.236271,0.191042,0.236646,0.247358,0.003702,0.008407,0.004332,0.003735,0.003252,0.002896,0.003065,0.002959,0.012693,0.028682,0.022087,0.042151,0.012454,split_audio_coyote
0.159381,0.032345,3.136650,0.200804,0.184172,1.101754,0.011402,0.259044,-28.547169,-0.744950,-1.282412,-0.009817,0.136843,0.421360,-0.720400,-0.193204,0.470693,0.051975,-0.411059,0.223896,0.032665,0.005832,0.002660,0.002668,0.001365,0.001926,0.001790,0.002243,0.001395,0.002995,0.006012,0.007968,0.043870,0.014368,0.004715,-0.001122,-0.000169,0.002949,0.001450,0.042762,-0.000450,0.010662,-0.108245,0.019882,0.004488,-0.020152,0.007486,-0.011655,-0.003518,0.003662,-0.004701,0.002830,0.008479,-0.008454,0.010067,0.000030,0.000054,0.000095,0.000011,0.000009,0.000069,0.000066,0.000020,-0.000007,0.000195,0.000030,-0.002538,-0.000734,0.140390,0.036352,0.225902,0.081805,0.031432,0.982541,0.011910,0.253905,3.875287,0.881573,0.779971,0.445573,0.330188,0.605186,0.330466,0.277537,0.355849,0.295241,0.343744,0.220569,0.244512,0.006852,0.003829,0.003526,0.001324,0.001775,0.002001,0.002997,0.002016,0.003726,0.008039,0.014745,0.055477,0.014676,0.045354,0.024289,0.237099,0.029225,0.027889,0.338321,0.012562,0.095374,1.745540,0.962963,0.413921,0.347346,0.330201,0.554619,0.292376,0.377232,0.288763,0.313444,0.306161,0.192912,0.227500,0.009765,0.004045,0.003859,0.001527,0.002052,0.002198,0.003654,0.002448,0.004441,0.009813,0.020963,0.058576,0.015608,split_audio_coyote
0.152654,0.045221,3.173296,0.192183,0.165977,0.815436,0.011298,0.219192,-27.830625,-0.585153,-1.085048,0.169729,-0.139161,0.655797,-0.676824,-0.176965,0.537883,0.036957,-0.397159,0.132895,0.011019,0.003638,0.003976,0.002368,0.002434,0.001460,0.001278,0.001638,0.000873,0.001305,0.006145,0.028913,0.023353,0.014410,-0.003593,-0.000107,-0.004705,-0.001567,-0.000540,-0.024433,0.000039,-0.011652,0.043349,-0.004661,0.007557,0.017481,-0.001646,0.024659,-0.003597,0.002987,0.015220,0.004757,-0.001286,-0.001555,0.006801,0.000172,0.000331,0.000148,-0.000050,-0.000055,-0.000109,-0.000009,-0.000029,-0.000040,0.000037,0.000141,0.000009,0.000102,0.104068,0.044922,0.194426,0.082904,0.036580,0.708975,0.012538,0.157453,4.071321,0.779613,0.763104,0.459288,0.360030,0.403511,0.327107,0.260727,0.306859,0.284901,0.336193,0.343045,0.225350,0.004225,0.005230,0.002905,0.005177,0.001946,0.001341,0.001617,0.001192,0.001829,0.010157,0.042299,0.036595,0.012437,0.046140,0.022257,0.232010,0.036081,0.033176,0.372992,0.014505,0.068941,1.638604,0.973929,0.522638,0.508426,0.390287,0.386532,0.291679,0.302789,0.326803,0.259422,0.244293,0.216102,0.232068,0.005725,0.005269,0.002754,0.006015,0.002346,0.001654,0.001809,0.001181,0.002016,0.012509,0.050246,0.033824,0.015902,split_audio_coyote
0.126248,0.043299,3.075906,0.170427,0.174290,0.763600,0.010170,0.188604,-26.842094,-0.969643,-1.274919,0.075891,-0.341884,0.823859,-0.520975,-0.414333,0.313772,0.353174,-0.453503,-0.023982,0.087118,0.003031,0.002858,0.006324,0.002323,0.001947,0.001897,0.002049,0.002453,0.004841,0.009582,0.047279,0.017188,0.017549,0.010167,-0.001530,0.007610,0.004850,0.002190,0.059543,-0.000791,0.022852,-0.129206,0.056777,0.003566,-0.012618,0.039330,-0.058374,-0.001026,0.010071,-0.000672,-0.003014,0.025781,-0.013038,-0.003566,-0.000226,0.000164,-0.000349,0.000002,-0.000069,0.000027,0.000093,-0.000026,0.000235,-0.000125,-0.000087,-0.000177,-0.000184,0.102435,0.044784,0.211210,0.068998,0.039822,0.677232,0.009848,0.191239,3.825983,0.788275,0.685222,0.334006,0.407695,0.506291,0.318196,0.393488,0.299949,0.363594,0.363409,0.236429,0.176288,0.003387,0.004330,0.011634,0.002725,0.001952,0.001921,0.002229,0.002921,0.005708,0.011490,0.042233,0.025985,0.013124,0.063127,0.038846,0.248232,0.037040,0.035958,0.378354,0.008006,0.149447,1.586125,1.181144,0.578719,0.387370,0.419011,0.433277,0.358818,0.456497,0.316620,0.351570,0.328084,0.273499,0.250068,0.003578,0.005353,0.017040,0.003907,0.002236,0.002147,0.002365,0.004233,0.007255,0.014645,0.057994,0.025812,0.016772,split_audio_coyote
0.179284,0.026448,3.085584,0.211968,0.196395,1.185561,0.006126,0.346378,-29.181908,-1.213391,-0.995092,0.178022,-0.354905,0.689700,-0.415436,-0.439842,0.186576,0.257758,-0.239782,-0.071008,0.194511,0.004021,0.003366,0.002523,0.002641,0.002548,0.003617,0.003023,0.002613,0.007658,0.008205,0.011518,0.018349,0.009107,0.016323,-0.000219,0.008522,0.008861,0.003945,0.102669,-0.000276,0.035625,-0.414240,0.029825,0.093716,-0.017955,0.046103,0.000980,0.020489,-0.012071,-0.046426,-0.056553,0.030292,0.007729,0.041144,-0.000020,-0.000204,0.000276,0.000187,0.000023,-0.000074,-0.000003,-0.000089,0.000100,-0.000207,-0.000464,-0.001626,-0.000316,0.082031,0.025660,0.198322,0.044774,0.023720,0.622255,0.005379,0.205630,2.216373,0.629511,0.563874,0.388707,0.246170,0.340425,0.248498,0.320957,0.349082,0.326086,0.348513,0.206990,0.196022,0.004224,0.002742,0.002198,0.002561,0.003097,0.005112,0.003331,0.002886,0.006697,0.007127,0.016941,0.031074,0.010010,0.056012,0.025490,0.263239,0.031971,0.030501,0.413777,0.006077,0.183267,1.583430,0.768531,0.326745,0.341553,0.382666,0.336133,0.340539,0.372652,0.475475,0.267401,0.309011,0.224438,0.294294,0.005713,0.003488,0.002672,0.003098,0.004000,0.004150,0.003264,0.003997,0.009791,0.011072,0.021656,0.047799,0.014613,split_audio_coyote
0.130679,0.042604,3.256539,0.175011,0.176413,0.808629,0.009897,0.206828,-27.383493,-0.730176,-1.171228,0.187302,-0.062265,0.557105,-0.710932,-0.177520,0.611218,-0.025687,-0.566545,0.303347,-0.065396,0.005126,0.002051,0.001449,0.000996,0.001372,0.001532,0.001766,0.000752,0.001382,0.003522,0.004793,0.055318,0.016208,-0.000064,-0.000368,-0.000900,0.001536,0.000772,0.015323,-0.000038,0.005271,-0.017589,0.008137,-0.001453,0.003554,0.009057,0.002181,-0.011612,0.000620,0.009589,0.000543,-0.004336,0.004134,0.011548,-0.000089,0.000016,0.000028,0.000009,0.000076,0.000033,0.000063,-0.000011,0.000079,-0.000063,0.000122,0.000974,0.000239,0.110675,0.039897,0.084961,0.080106,0.038581,0.843116,0.012074,0.242612,3.737942,0.794656,0.646263,0.383317,0.419546,0.495733,0.378621,0.226702,0.384399,0.288670,0.335008,0.363953,0.234703,0.006007,0.001844,0.001801,0.001405,0.001828,0.002381,0.001927,0.000819,0.001691,0.004575,0.008745,0.059823,0.016250,0.053643,0.024903,0.096293,0.038969,0.032473,0.426232,0.015492,0.134619,1.693382,0.915305,0.524258,0.390527,0.434980,0.400392,0.215055,0.331005,0.285246,0.300107,0.315281,0.273926,0.231780,0.007561,0.002001,0.001730,0.001533,0.001958,0.002268,0.002100,0.000849,0.001748,0.004430,0.012123,0.060030,0.016898,split_audio_coyote
0.082573,0.006244,2.972438,0.245608,0.248792,0.493491,0.015322,0.047247,-31.624090,0.932866,-0.568677,0.499069,0.325109,0.047673,0.189039,0.178283,0.097346,0.065016,0.021884,0.255273,0.173166,0.003242,0.002383,0.022748,0.003968,0.033690,0.002618,0.194475,0.002379,0.002080,0.003161,0.009651,0.001345,0.061550,0.001981,0.000025,-0.008229,0.005017,0.005105,-0.001810,0.000001,0.000219,0.373642,0.020226,-0.001566,0.000488,0.005840,-0.007767,0.007790,0.003555,0.002095,0.004817,0.005258,0.008056,0.008631,-0.000050,0.000019,0.000906,-0.000038,-0.002491,0.000051,0.005666,-0.000013,0.000009,0.000046,0.000558,-0.000003,0.000770,0.032262,0.012781,0.348871,0.064778,0.054616,0.154367,0.050102,0.031152,4.578250,0.527980,0.379276,0.497703,0.327337,0.260405,0.384292,0.328564,0.222715,0.203754,0.247565,0.187970,0.182054,0.004624,0.004023,0.017895,0.005465,0.029595,0.004116,0.069695,0.003232,0.002951,0.005600,0.010862,0.001558,0.019807,0.038603,0.019201,0.473603,0.072593,0.047176,0.226062,0.072026,0.032581,2.235771,0.652149,0.467804,0.426740,0.417045,0.305348,0.478446,0.352005,0.283234,0.278280,0.320057,0.274540,0.295993,0.006415,0.004640,0.021558,0.007798,0.015242,0.005718,0.080330,0.004022,0.003996,0.007805,0.016019,0.002049,0.021331,split_audio_coyote
0.108166,0.004346,2.970066,0.284870,0.294535,0.516957,0.005280,0.091207,-27.696179,1.309289,-0.904281,0.329160,0.403926,0.431760,0.072085,0.118965,0.401338,-0.058313,-0.000222,0.259056,0.195868,0.007125,0.001889,0.053494,0.003980,0.006897,0.002086,0.192425,0.002787,0.006130,0.005269,0.014002,0.005639,0.056417,-0.000382,0.000377,-0.038785,-0.003112,-0.001712,-0.003166,0.000201,0.000100,0.103773,0.014784,0.005943,-0.008358,-0.005173,0.003131,-0.009407,-0.006858,-0.000210,0.001417,-0.009120,-0.006825,-0.005939,0.000483,0.000154,0.000341,0.000392,0.000432,0.000253,-0.005947,0.000033,0.000061,0.000285,0.000442,0.000147,-0.001559,0.042634,0.005332,0.288865,0.048433,0.030834,0.234448,0.003485,0.084761,1.258077,0.593273,0.440960,0.311025,0.187554,0.319214,0.315421,0.341993,0.361853,0.296741,0.234447,0.202837,0.164894,0.005927,0.001809,0.051903,0.005398,0.005792,0.003259,0.101354,0.003519,0.015172,0.007338,0.012664,0.010547,0.026473,0.050131,0.005838,0.380345,0.046488,0.030828,0.268029,0.004016,0.098309,1.111701,0.517738,0.396661,0.387242,0.235978,0.349949,0.362466,0.487827,0.428374,0.394760,0.344427,0.285293,0.200681,0.007880,0.002223,0.069794,0.007819,0.006131,0.004378,0.132868,0.005090,0.020734,0.010635,0.017449,0.013454,0.033351,split_audio_coyote
0.097323,0.019963,2.967246,0.203713,0.233879,0.646906,0.007054,0.115540,-24.787570,0.648441,-0.554404,0.644538,0.362178,0.189107,0.088885,0.294966,0.064395,-0.010697,-0.027082,0.032271,-0.014374,0.012771,0.007438,0.017498,0.009271,0.010147,0.005431,0.064674,0.006729,0.003963,0.009964,0.017665,0.005595,0.022142,0.000329,-0.000224,-0.006229,0.002128,0.002007,-0.005437,0.000044,-0.001157,-0.100114,0.021540,0.004014,-0.007422,-0.012663,-0.013172,0.005108,0.004579,-0.000750,0.001816,-0.000018,0.008211,0.003932,-0.000068,0.000100,0.003581,-0.000156,-0.000012,0.000020,0.001685,-0.000147,0.000047,-0.000198,0.000087,-0.000063,0.000972,0.032991,0.022216,0.304637,0.038248,0.031353,0.378711,0.005357,0.080404,1.379191,0.601626,0.549528,0.477086,0.402436,0.314464,0.415746,0.400366,0.354735,0.313848,0.323435,0.196907,0.168044,0.013829,0.011745,0.020387,0.011763,0.009406,0.005842,0.062449,0.012498,0.005564,0.010647,0.015450,0.010010,0.014872,0.038580,0.027756,0.435319,0.042478,0.034801,0.470131,0.006714,0.105928,1.388196,0.608289,0.665848,0.512187,0.408862,0.392598,0.450937,0.438068,0.450084,0.357623,0.417369,0.284665,0.242084,0.020190,0.017523,0.022449,0.016591,0.013598,0.007060,0.080745,0.015286,0.006554,0.014733,0.019079,0.014022,0.019538,split_audio_coyote
